,SITE_ID,LOCATION_LAT,LOCATION_LON,LOCATION_ELEV,MIN_DATE,MAX_DATE,SITE_NAME
124,DK-Skj,55.91273,8.40481,2.0,202001010000,202212312330,
125,DK-Sor,55.48587,11.644645,40.0,199601010000,202212312330,Soroe
126,DK-Vng,56.0374765,9.16070962,67.7,202001010000,202212312330,
127,ES-Abr,38.701839,-6.785881,,201501010000,202012312330,
128,ES-Agu,36.940046,-2.033208,,200601010000,202012312330,
129,ES-Amo,36.8336,-2.2523,58.0,200701010000,201212312330,Amoladeras
130,ES-Cnd,37.914998,-3.227659,,201401010000,202012312330,
131,ES-LJu,36.9266,-2.7521,1600.0,200401010000,202012312330,Llano de los Juanes
132,ES-LM1,39.94269,-5.778683,,201401010000,202012312330,
133,ES-LM2,39.934592,-5.775881,,201401010000,202012312330,
134,ES-LgS,37.0979,-2.9658,2267.0,200701010000,200912312330,Laguna Seca
135,ES-Ln2,36.9695,-3.4758,2249.0,200901010000,200912312330,Lanjaron-Salvage logging
136,FI-Hyy,61.8474,24.2948,181.0,199601010000,202212312330,Hyytiala
137,FI-Jok,60.8986,23.5134,109.0,200001010000,200312312330,Jokioinen
138,FI-Ken,67.98721,24.24301,347.0,201801010000,202212312330,
139,FI-Let,60.64183,23.95952,125.0,200901010000,202212312330,Lettosuo
140,FI-Lom,67.9972,24.2092,274.0,200601010000,201012312300,Lompolojankka
141,FI-Qvd,60.295242,22.391607,,201801010000,202012312330,
142,FI-Si2,61.8372,24.1967,160.0,201201010000,201612312300,Siikaneva-2 Bog
143,FI-Sii,61.8327,24.1928,160.0,201301010000,202212312330,Siikaneva
144,FI-Sod,67.3624,26.6386,180.0,200101010000,201412312330,Sodankyla
145,FI-Var,67.7549,29.61,395.0,201601010000,202212312330,
146,FR-Aur,43.54965,1.106103,250.0,200501010000,202212312330,
147,FR-Bil,44.493652,-0.956092,39.18,201401010000,202212312330,
148,FR-EM2,49.8721083,3.02065,85.0,201701010000,202212312330,
149,FR-FBn,43.24079,5.67865,436.0,200801010000,202012312330,
150,FR-Fon,48.476357,2.780096,103.0,200501010000,202212312330,Fontainebleau-Barbeau
